PERIOD,ID,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14,V_15,V_16,V_17,V_18,V_19,V_20,V_21,V_22,V_23,V_24,V_25,V_26,V_27,V_28,V_29,V_30,V_31,V_32,V_33,V_34,V_35,V_36,V_37,V_38,V_39,V_40,V_41,V_42,V_43
1,9,30,18,11,1,1,0,1,1,0,30,13,164.7,684.42,618.35,64.25,0,0,1.82,25,1,0,495.941822,978.72,957,21.72,0,0,372,338,19,0,484,466,18,0,0,140.1,3.2225,18,451.464486,140.1,0,0
1,33,1,0,0,1,0,0,0,0,0,1,0,0,1.98,1.98,0,0,0,0,0,0,0,0,3.08,3.08,0,0,0,1,1,0,0,2,2,0,0,0,2.5,0,0,0,2.5,0,0
3,43,31,31,1,1,1,0,1,1,0,31,1,74.6,493.7,486.5,7.2,0,0,0,1,0,0,5637.392372,463.5,377.02,21.72,64.77,0,149,147,2,0,125,115,3,7,0,157.31,24.36465662,31,5657.603539,157.31,0,0
3,99,31,1,0,1,1,0,0,1,0,31,12,305.47,1907.1,1868.6,38.5,0,0,0,0,0,0,0.014634,310.12,255.05,8.17,46.9,0,308,287,21,0,143,132,7,4,0,35,134.0490891,0,0,35,0,0
1,103,30,21,13,1,1,0,1,1,1,29,18,46.17,371.48,253.02,113,0,0,5.46,10,53,0,564.614472,429.52,165.4,264.12,0,0,309,181,88,0,169,58,111,0,0,135.75,39.7,10,427.44839,87.75,0,0
2,122,1,0,0,0,1,0,0,0,0,0,1,0,0.3,0,0.3,0,0,0,0,0,0,0,188.4,188.4,0,0,0,1,0,1,0,19,19,0,0,0,0.45,0,0,0,0.45,0,0
1,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,135,30,30,4,1,1,0,1,1,0,30,1,182.13,822.28,814.67,0.23,0,0,7.38,6,0,0,1487.832661,704.53,701.45,2.8,0,0,260,238,1,0,201,197,3,0,0,125,0.5475,29,1207.753533,125,0,0
2,252,28,1,0,1,0,0,0,1,0,28,0,105.73,257.17,257.1,0,0,0,0.07,0,0,0,0.475501,192.77,192.77,0,0,0,174,173,0,0,153,153,0,0,0,15,0,0,0,15,0,0
1,268,16,1,3,1,1,0,1,1,0,13,7,21.47,76.65,67.93,8.72,0,0,0,2,2,0,20.656854,138,137.05,0.95,0,0,36,26,10,0,35,32,3,0,0,47.2,0.1025,1,20.516669,47.2,0,0
3,278,31,0,0,1,1,0,0,0,0,31,3,68.87,272.05,257.47,5.73,0,0,8.85,0,0,0,0,199.73,194.22,5.52,0,0,218,210,5,0,181,175,6,0,0,30,0.8375,0,0,30,0,0
2,350,3,0,0,1,0,0,0,0,0,3,0,0,3.57,3.57,0,0,0,0,0,0,0,0,21.43,21.43,0,0,0,4,4,0,0,11,11,0,0,0,3,0,0,0,3,0,0
2,371,17,0,0,1,1,0,0,0,0,13,3,2.07,23.95,21.38,1.3,0,0,1.27,0,0,0,0,336.03,324.47,11.57,0,0,27,22,3,0,121,111,10,0,0,0,1.6675,0,0,0,0,0
2,410,31,31,15,1,1,0,1,1,0,31,10,66.98,333.5,311.93,21.48,0,0,0.09,122,0,0,2683.191814,181.92,165.15,16.77,0,0,161,149,10,0,146,134,12,0,0,24,2.5325,31,2641.668841,24,0,0
1,426,30,0,2,1,1,0,1,0,0,30,2,87.52,250.15,246.93,2.88,0,0,0.34,2,0,0,0,402.25,381.97,20.28,0,0,144,132,5,0,197,180,17,0,0,53.5,3.0725,0,0,53.5,0,0
